iter	RMSE
0	11663.42188
1	11323.7246
2	10990.72048
3	10688.59893
4	10374.15625
5	10074.13674
6	9801.990378
7	9529.50643
8	9275.45441
9	9037.589321
10	8800.93276
11	8573.050282
12	8386.282784
13	8187.186513
14	7989.946621
15	7805.225724
16	7613.985333
17	7442.104812
18	7266.661126
19	7104.934894
20	6968.111294
21	6833.439205
22	6731.686788
23	6615.408394
24	6501.020257
25	6376.867489
26	6266.103799
27	6162.045507
28	6059.47239
29	5957.060296
30	5864.96929
31	5786.613829
32	5706.64377
33	5631.035432
34	5568.385323
35	5492.760726
36	5428.992092
37	5362.81887
38	5299.526569
39	5248.386618
40	5202.798735
41	5157.087695
42	5113.135774
43	5069.406387
44	5025.71061
45	4985.462292
46	4946.32972
47	4909.417133
48	4881.881288
49	4851.649256
50	4819.390169
51	4791.178717
52	4760.772284
53	4736.921445
54	4713.150449
55	4689.226437
56	4666.197839
57	4641.62163
58	4625.494088
59	4605.000717
60	4588.567265
61	4569.065289
62	4556.075463
63	4539.587598
64	4524.196759
65	4509.455275
66	4497.123525
67	4482.088418
68	4468.240384
69	4457.196868
70	4445.162472
71	4433.484667
72	4422.698028
73	4412.722952
74	4402.379909
75	4392.070492
76	4383.765899
77	4376.905043
78	4367.801382
79	4357.979779
80	4352.509424
81	4343.978265
82	4333.56055
83	4327.516886
84	4321.079256
85	4314.30007
86	4309.262615
87	4302.535088
88	4292.262072
89	4286.98915
90	4284.651709
91	4283.182021
92	4280.183216
93	4274.406088
94	4266.805331
95	4260.286442
96	4254.806736
97	4249.074174
98	4242.927463
99	4235.668016
100	4230.354338
101	4223.831089
102	4219.65568
103	4212.070812
104	4207.165297
105	4202.995869
106	4198.658494
107	4194.632313
108	4191.533856
109	4187.801695
110	4185.381176
111	4181.565576
112	4176.37275
113	4173.664657
114	4171.200341
115	4170.617056
116	4164.388875
117	4160.398413
118	4158.067958
119	4155.762346
120	4152.910843
121	4146.19622
122	4142.071663
123	4139.986124
124	4137.60822
125	4131.912529
126	4128.966413
127	4124.93252
128	4122.681252
129	4118.5783
130	4115.271763
131	4112.100129
132	4108.062696
133	4106.828243
134	4104.024485
135	4102.977607
136	4099.242157
137	4097.239089
138	4094.160425
139	4092.883493
140	4089.328034
141	4085.945786
142	4081.305775
143	4077.994841
144	4075.701837
145	4071.050815
146	4068.330446
147	4063.612459
148	4063.045529
149	4056.69239
150	4052.201005
151	4047.350608
152	4045.379227
153	4043.205151
154	4037.055277
155	4033.705311
156	4032.413997
157	4028.262179
158	4025.218269
159	4022.721374
160	4020.844007
161	4015.774542
162	4014.423099
163	4012.711276
164	4007.082497
165	4002.783746
166	3999.937302
167	3995.419108
168	3993.627834
169	3991.282524
170	3988.514362
171	3986.326537
172	3984.057858
173	3982.178792
174	3981.571528
175	3978.702
176	3973.637713
177	3972.448768
178	3969.677367
179	3968.260761
180	3965.573568
181	3962.170434
182	3959.120868
183	3955.494743
184	3953.980984
185	3953.078567
186	3952.615397
187	3949.36533
188	3945.963737
189	3943.763398
190	3942.171408
191	3938.686653
192	3937.698025
193	3932.651541
194	3931.283129
195	3930.110044
196	3926.319964
197	3920.652351
198	3918.799343
199	3913.577901
200	3911.543927
201	3908.164014
202	3906.98208
203	3905.522682
204	3903.017589
205	3899.401227
206	3897.915267
207	3895.445777
208	3894.522841
209	3891.004162
210	3887.979005
211	3883.070919
212	3882.824346
213	3880.963664
214	3878.32977
215	3874.84959
216	3873.041996
217	3870.322745
